mecId,name
35031264,9 DE JULHO
35911173,ALFREDO MACHADO
35031574,BENJAMIN CONSTANT
35458090,CEL JTO A EE 9 DE JULHO
35985429,CEL JTO A EE FLEURIDES CAVALINI MENECHINO PROFA
35458119,CEL JTO A EE IDENE RODRIGUES DOS SANTOS PROF
35985430,CEL JTO A EE OSVALDO MARTINS
35448370,CENTRO DE ATENDIMENTO SOC EDUC AO ADOLES IRAPURU I - CI
35354570,CENTRO DE ATENDIMENTO SOC EDUC AO ADOLESC IRAPURU II CI
35462706,CENTRO DE PROGRESSAO PENITENCIARIA DE PACAEMBU
35573139,CENTRO REABILITACAO PENITENCIARIA OSVALDO CRUZ CLS PROV
35031636,DOM BOSCO
35031045,DURVALINO GRION PROF
35030892,ELMOZA ANTONIO JOAO PROFA
35031446,FERDINANDO IENNY
35031112,FLEURIDES CAVALLINI MENECHINO PROFA
35031306,GERALDO PECORARI PROF
35030995,GUILHERME BUZINARO PREFEITO
35031549,HANS WIRTH
35030806,HELEN KELLER
35031525,IDENE RODRIGUES DOS SANTOS PROF
35031598,IRALDO ANTONIO MARTINS DE TOLEDO
35031276,ISAC PEREIRA GARCEZ ENG
35031422,JACINTO PERNAS GOMATO
35031471,JOAO BERNARDI
35031458,JOAO BRASIO
35031069,JOEL AGUIAR PROF
35030958,JOSE EDSON MOYSES PROF
35030788,JOSE FIRPO
35031252,JULIETA GUEDES MENDONCA PROFA
35031159,LUCIO ANTUNES DOM
35922584,MARIA APARECIDA LOPES PROFA
35031355,ORLANDO GUIRADO BRAGA PROF
35031297,OSCAR PEDROSO HORTA MINISTRO
35031616,OSVALDO MARTINS
35457929,OZIAS LUCIO DOS SANTOS
35457899,PENITENCIARIA ASP ADRIANO APARECIDO DE PIERI DE DRACENA
35455337,PENITENCIARIA COMPACTA DE FLORIDA PAULISTA
35454400,PENITENCIARIA COMPACTA DE OSVALDO CRUZ
35455349,PENITENCIARIA COMPACTA DE TUPI PAULISTA
35455064,PENITENCIARIA DE IRAPURU
35454345,PENITENCIARIA DE JUNQUEIROPOLIS
35453870,PENITENCIARIA DE LUCELIA
35455155,PENITENCIARIA DE PRACINHA
35459636,PENITENCIARIA FEMININA DE TUPI PAULISTA
35030910,PERCIO GOMES GONZALES DR
35578915,PROFESSOR CARLOS UMBERTO CARRARA
35031461,SALVADOR RAMOS DE MOURA PROF
35030831,TAIEKA TAKAHASHI GIMENES PROFA
35031513,TUPI PAULISTA
35031550,WALDOMIRO SAMPAIO DE SOUZA PREFEITO
35453201,AEVP RENATO GONCALVES RODRIGUES CENTRO DENT PROV
35047016,ALCHESTE DE GODOY ANDIA PROFA
35016998,ALCINDO SOARES DO NASCIMENTO PROF
35903784,ALEXANDRE BASSORA
35907285,ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA
35918854,ANNA PERES DA SILVA PROFESSORA
35903760,ANTONIETA GHIZINI LENHARE PROFA
35017085,ANTONIO DE ARRUDA RIBEIRO PROF
35017292,ANTONIO MATARAZZO PROF
35039846,ANTONIO ZANAGA PREFEITO
35017188,ARY MENEGATTO PROF
35919159,ATTILIO DEXTRO PROF
35049402,BENEDICTA ARANHA DE OLIVEIRA LINO PROFA
35049897,BENTO PENTEADO DOS SANTOS PROF
35980055,CEEJA ALDA MARANGONI FRANCA PROFA
35433639,CEL JTO A EE OCTAVIO SOARES DE ARRUDA PROF
35045500,CLARICE COSTA CONTI PROFA
35042473,CONSTANTINO AUGUSTO PINKE PROF
35017197,DELMIRA DE OLIVEIRA LOPES PROFA
35017218,DILECTA CENEVIVA MARTINELLI PROFA
35903796,DIRCEU DIAS CARNEIRO
35039810,DORTI ZAMBELLO CALIL PROFA
35921178,EDUARDO SILVA PROF
35017115,ELISABETH STEAGALL PIRTOUSCHEG PROFA
35017231,EMILIO ROMI COMENDADOR
35912827,FIORAVANTE LUIZ ANGOLINI
35900459,GEMMA VASCONCELOS CAMARGO CAPELLO PROFA
35497733,GERALDO DE OLIVEIRA
35017346,GERMANO BENENCASE MAESTRO
35903802,GUIOMAR DIAS DA SILVA PROFA
35017206,HEITOR PENTEADO DR
35039822,HELOIZA THEREZINHA MURBACH LACAVA PROFA
35922353,HENRIQUE NICOPELLI MONSENHOR
35047004,HYLDA PARDO DE OLIVEIRA PROFA
35907297,IDALINA GRANDIN MIRANDOLA PROFA
35017000,INOCENCIO MAIA PROF
35037936,IRENE DE ASSIS SAES PROFA
35913625,JADYR GUIMARAES CASTRO PROFA
35017164,JOAO DE CASTRO GONCALVES DR
35017322,JOAO SOLIDARIO PEDROSO PROF
35017309,JOAO THIENNE DR
35017224,JOAO XXIII
35905574,JOAQUIM RODRIGUES AZENHA DR
35049918,JORGE CALIL ASSAD SALLUM PROF
35909324,JOSE DOMINGUES RODRIGUES PROF
35017012,JOSE GABRIEL DE OLIVEIRA
35016986,JUVELINA DE OLIVEIRA RODRIGUES PROFA
35919160,LAURA EMMIE PYLES PROFA
35017073,LUIZ ALVES CEL
35011873,LUIZ HIPOLITO PROFESSOR
35922961,LUZIA BARUQUE KIRCHE PROFA
35017176,MAGI MONSENHOR
35042481,MARCELINO TOMBI PROF
35920599,MARIA DE LOURDES BEOZZO FRANCHI PROFA
35919147,MARIA DE LOURDES MAIA FROTA PROFA
35435454,MARIA DO CARMO AUGUSTI PROFA
35435442,MARIA FRIZZARIN PROFA
35017059,MARIA GUILHERMINA LOPES FAGUNDES PROFA
35017139,MARIA JOSE DE MATTOS GOBBO PROFA
35039330,MARIA JOSE MARGATO BROCATTO PROFA
